,speaker,recording,t1,t2,phones,phone_dur,prev,nxt,prev_short,nxt_short,prev_height,nxt_height,prev_back,nxt_back,words,COG,SD,skew,kurtosis,age,gender,sexuality,race_ethnicity,SES,place_origin,L1s
0,S01,S01_interview.wav,0.7,0.8,S,0.10000000000000009,AY1,T,AY,T,high,consonant,front,consonant,still,6843.643604465933,2399.00898041544,-1.4015499334906103,2.7714968616064786,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
1,S01,S01_interview.wav,13.76,13.99,S,0.23000000000000043,Z,T,Z,T,consonant,consonant,consonant,consonant,student,6441.362865462251,2262.1035904017413,-0.7090244798219009,2.8796475503027317,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
2,S01,S01_interview.wav,23.73,24.04,S,0.3099999999999987,EH1,N,EH,N,mid,consonant,front,consonant,yes,6824.187499928303,2231.49450228345,-1.4644679513220165,3.7856194584647485,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
3,S01,S01_interview.wav,29.9,30.04,S,0.14000000000000057,AE1,T,AE,T,low,consonant,front,consonant,past,5552.4868107262655,3521.4069780777463,-0.4189515069041786,-0.7381182728097899,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
4,S01,S01_interview.wav,30.65,30.72,S,0.07000000000000028,AE1,T,AE,T,low,consonant,front,consonant,past,4701.82988690245,3671.1266027398397,-0.02251498606518615,-1.3916212189046182,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
5,S01,S01_interview.wav,33.06,33.12,SH,0.05999999999999517,D,IY1,D,IY,consonant,high,consonant,front,she's,3286.2377850679923,1618.033915891719,2.4943035378295835,10.949305238513327,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
6,S01,S01_interview.wav,42.06,42.13,S,0.07000000000000028,N,AH0,N,AH,consonant,mid,consonant,back,johnson,5183.196852403136,2949.128877081922,-0.5763048436319174,-0.4912859291073479,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
7,S01,S01_interview.wav,43.72,43.88,S,0.1600000000000037,EH1,OW2,EH,OW,mid,mid,front,back,yes,5341.196863629589,3073.129846733327,-0.4492238636735867,-0.8467435137694173,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
8,S01,S01_interview.wav,54.36,54.42,S,0.060000000000002274,AE1,N,AE,N,low,consonant,front,consonant,class,3310.6446279573493,3232.3172506763103,0.8572668111512608,0.03984948990271464,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
9,S01,S01_interview.wav,62.75,62.85,S,0.10000000000000142,V,L,V,L,consonant,consonant,consonant,consonant,slab,6517.468305598893,1655.7179429181808,-0.2723120584493266,7.595685193234271,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
10,S01,S01_interview.wav,72.39,72.47,S,0.0799999999999983,AY1,Y,AY,Y,high,consonant,front,consonant,nice,4811.286064805305,3544.194904406887,-0.07707173010340942,-0.8026788730596768,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
11,S01,S01_interview.wav,76.55,76.92,S,0.37000000000000455,EH1,AY1,EH,AY,mid,low,front,central,yes,6289.779415839581,3070.800842415888,-0.030935672654698643,0.8558732863800635,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
12,S01,S01_interview.wav,79.33,79.43,SH,0.10000000000000853,EH1,L,EH,L,mid,consonant,front,consonant,especially,3756.412024302341,2502.186073530581,0.8880439700646824,1.2568375834711407,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
13,S01,S01_interview.wav,80.02,80.08,S,0.060000000000002274,K,M,K,M,consonant,consonant,consonant,consonant,takes,6667.619483534074,2553.6307767043904,0.5431661603358676,3.2107741465529864,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
